"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Jun 19 16:37:09 BST 2024","Wed Jun 19 16:37:14 BST 2024","5269","","Flutter Test Application","","","","Click Get Started and Search",""
"passed","Wed Jun 19 15:26:28 BST 2024","Wed Jun 19 15:26:54 BST 2024","26358","","Flutter Test Application","","","","Click Get Started and Search",""
